travelCode;userCode;name;place;days;price;total;date
0;0;Hotel A;Florianopolis (SC);4;313.02;1252.08;2019/09/26
2;0;Hotel K;Salvador (BH);2;263.41;526.82;2019/10/10
7;0;Hotel K;Salvador (BH);3;263.41;790.23;2019/11/14
11;0;Hotel K;Salvador (BH);4;263.41;1053.64;2019/12/12
13;0;Hotel A;Florianopolis (SC);1;313.02;313.02;2019/12/26
15;0;Hotel BD;Natal (RN);2;242.88;485.76;2020/01/09
22;0;Hotel Z;Aracaju (SE);2;208.04;416.08;2020/02/27
29;0;Hotel AU;Recife (PE);4;312.83;1251.32;2020/04/16
32;0;Hotel AF;Sao Paulo (SP);2;139.1;278.2;2020/05/07
33;0;Hotel K;Salvador (BH);4;263.41;1053.64;2020/05/14
34;0;Hotel AF;Sao Paulo (SP);3;139.1;417.3;2020/05/21
38;0;Hotel BD;Natal (RN);2;242.88;485.76;2020/06/18
39;0;Hotel K;Salvador (BH);1;263.41;263.41;2020/06/25
42;0;Hotel BW;Campo Grande (MS);3;60.39;181.17;2020/07/16
43;0;Hotel K;Salvador (BH);4;263.41;1053.64;2020/07/23
45;0;Hotel BD;Natal (RN);1;242.88;242.88;2020/08/06
51;0;Hotel K;Salvador (BH);1;263.41;263.41;2020/09/17
53;0;Hotel BW;Campo Grande (MS);2;60.39;120.78;2020/10/01
54;0;Hotel AF;Sao Paulo (SP);3;139.1;417.3;2020/10/08
55;0;Hotel A;Florianopolis (SC);2;313.02;626.04;2020/10/15
57;0;Hotel Z;Aracaju (SE);4;208.04;832.16;2020/10/29
60;0;Hotel Z;Aracaju (SE);4;208.04;832.16;2020/11/19
65;0;Hotel CB;Rio de Janeiro (RJ);1;165.99;165.99;2020/12/24
73;0;Hotel BP;Brasilia (DF);4;247.62;990.48;2021/02/18
81;0;Hotel BD;Natal (RN);4;242.88;971.52;2021/04/15
86;0;Hotel AF;Sao Paulo (SP);3;139.1;417.3;2021/05/20
87;0;Hotel AU;Recife (PE);1;312.83;312.83;2021/05/27
90;1;Hotel AF;Sao Paulo (SP);1;139.1;139.1;2019/10/03
92;1;Hotel BP;Brasilia (DF);1;247.62;247.62;2019/10/17
100;2;Hotel CB;Rio de Janeiro (RJ);4;165.99;663.96;2019/10/31
101;2;Hotel BW;Campo Grande (MS);3;60.39;181.17;2019/11/07
105;2;Hotel Z;Aracaju (SE);4;208.04;832.16;2019/12/05
108;2;Hotel AU;Recife (PE);3;312.83;938.49;2019/12/26
109;2;Hotel BW;Campo Grande (MS);2;60.39;120.78;2020/01/02
110;2;Hotel K;Salvador (BH);1;263.41;263.41;2020/01/09
112;2;Hotel AF;Sao Paulo (SP);4;139.1;556.4;2020/01/23
116;2;Hotel BW;Campo Grande (MS);4;60.39;241.56;2020/02/20
117;2;Hotel AU;Recife (PE);2;312.83;625.66;2020/02/27
119;2;Hotel K;Salvador (BH);2;263.41;526.82;2020/03/12
122;2;Hotel A;Florianopolis (SC);4;313.02;1252.08;2020/04/02
124;2;Hotel Z;Aracaju (SE);3;208.04;624.12;2020/04/16
125;2;Hotel BW;Campo Grande (MS);2;60.39;120.78;2020/04/23
135;2;Hotel CB;Rio de Janeiro (RJ);1;165.99;165.99;2020/07/02
137;2;Hotel A;Florianopolis (SC);3;313.02;939.06;2020/07/16
150;2;Hotel Z;Aracaju (SE);2;208.04;416.08;2020/10/15
153;2;Hotel BW;Campo Grande (MS);4;60.39;241.56;2020/11/05
156;2;Hotel BP;Brasilia (DF);2;247.62;495.24;2020/11/26
160;2;Hotel BW;Campo Grande (MS);2;60.39;120.78;2020/12/24
165;2;Hotel BD;Natal (RN);3;242.88;728.64;2021/01/28
177;2;Hotel Z;Aracaju (SE);2;208.04;416.08;2021/04/22
180;2;Hotel BW;Campo Grande (MS);3;60.39;181.17;2021/05/13
187;2;Hotel Z;Aracaju (SE);3;208.04;624.12;2021/07/01
188;2;Hotel AF;Sao Paulo (SP);2;139.1;278.2;2021/07/08
189;2;Hotel K;Salvador (BH);4;263.41;1053.64;2021/07/15
192;2;Hotel A;Florianopolis (SC);4;313.02;1252.08;2021/08/05
197;2;Hotel A;Florianopolis (SC);3;313.02;939.06;2021/09/09
201;2;Hotel A;Florianopolis (SC);2;313.02;626.04;2021/10/07
205;2;Hotel CB;Rio de Janeiro (RJ);2;165.99;331.98;2021/11/04
211;2;Hotel Z;Aracaju (SE);3;208.04;624.12;2021/12/16
